,pmcid,HasRestingState,annotator_name,Exclude,Modality,TaskName,TaskDescription,Condition,ContrastDefinition
6024199,6024199,False,delavega-other,,"['fMRI-BOLD', 'fMRI-BOLD']",['involuntary memory'],"['During the re-encoding runs, each sound-picture pair and unpaired sound was presented. Participants rated on a 7-point scale how emotional the stimuli were. During the recall runs, the 55 paired and 40 unpaired sounds (randomly intermixed) were presented, panned 15° to either the left or the right using specialized audio software (Audacity,  ). Participants indicated the side on which the sound was louder. We presented each sound for 4\u202fs, followed by a 1.5-second response period, during which the screen was blank and participants completed the sound localization judgment. A fixation period followed (jittered with a mean of 4\u202fs, range: 1.5\u202fs–10.4\u202fs). At the beginning of the run, we instructed participants to wait until after the sound had ended to respond. Immediately following the scanning session, participants completed a post-scan questionnaire to assess their memory for the scenes. Participants heard all 95 sounds. After the presentation of each sound, participants reported: (1) whether they had remembered a picture when the sound was played during the sound localization task (yes/no), (2) how hard they tried to perform the sound localization task correctly (1\u202f=\u202fdid not try at all, 7\u202f=\u202ftried very hard), (3) how hard they tried to recall a picture during the scan (1\u202f=\u202fdid not try at all, 7\u202f=\u202ftried very hard), and (4) how vivid the memory of the picture was during the scan (1\u202f=\u202fnot at all vivid, 7\u202f=\u202fvery vivid). Lastly, we presented the 55 paired sounds a final time and participants provided a description of the picture originally paired with the sound. Two independent judges rated these descriptions for accuracy. In the case of disagreement, a third judge broke the tie. As described below, only paired sounds that elicited a memory without effort and unpaired sounds that did not elicit a memory and had no retrieval effort were analyzed. \n']","['paired sound', 'unpaired sound', 'high', 'low emotion']","['fMRI session during which they re-encoded the paired and unpaired sounds and then completed the critical sound localization/memory recall runs', 'Group\u202f×\u202ftime interaction', 'Main effect of group', 'Main effect of time ', 'high versus low emotion', 'high\u202f>\u202flow emotion involuntary memories across group and time: group\u202f×\u202ftime interaction', 'high\u202f>\u202flow emotion involuntary memories across group and time: main effect of group', 'high\u202f>\u202flow emotion involuntary memories across group and time: main effect of time']"
6037859,6037859,False,delavega_nv,,['fMRI-BOLD'],"['synchrony judgment', 'temporal order judgment ']","[""The fMRI procedure was similar to the behavioral experiment, except that a reduced stimulus set was presented: −333, 0, PSS, and +333. The PSS values were obtained individually from the pre-fMRI experiment separately for SJ and TOJ. To be as accurate as possible the individual PSS conditions were selected as the closest COA level to that of the PSS value derived from the pre-fMRI data fits. Although COA levels in the pre-fMRI experiment were restricted to ±333, ±267, ±200, ±133, ±67, and 0 ms, COA values for the PSS condition in the fMRI experiment could be any COA level between 0 and ±333 in 16 ms increments i.e., one frame at a time. This use of an individually determined stimulus level (PSS) is similar to the approach used by Binder ( ) to determine stimuli levels, but did not use the simultaneity threshold approach based on separate sound-first and flash-first trials. For TOJ-unable participants, we used average results from a behavioral study using identical stimuli (Petrini et al.,  ). An optimized mixed block/event-related design was used to enable investigation of differences between the tasks at both transient and sustained levels of processing. \n\nEach of two functional runs (~22 min each) consisted of 32 stimulation blocks (half SJ and half TOJ, randomized) and after every two stimulation blocks there was a 16 s fixation block (Figure  ). Within a stimulation block (25 s) there were 9 events: 5 stimuli (each 3 s) separated by 4 fixation events (1, 2, 3, or 4 s in pseudorandom order). Each COA condition was presented a total of 40 times (20 per run) per task. To minimize the correlation between the transient (stimuli) and sustained (stimulation block) regressors the number of times an individual COA condition was presented within a single stimulation block was manipulated as follows: in a run, a COA level was presented 0 times during 4 stimulation blocks, once in 6 blocks, twice in 4 blocks and 3 times in 2 blocks, i.e., a total of 20 presentations for each COA level and task. One thousand sequences with different randomizations of the order of events and blocks were created and the best chosen by balancing efficiency and correlation. In the chosen sequence, the mean correlation between sustained and transient regressors was 0.47, which enabled reliable estimation of both types of BOLD response (Otten et al.,  ). \n\nAuditory stimuli were presented via Sensimetrics S14 insert headphones at approximately 85 dB. The visual cue was back-projected (Panasonic PT-D7700E DLP; 1,024 × 768 pixel resolution, 60 Hz refresh rate) onto a screen behind the participant's head, visible via a mirror mounted on the MR head coil with an approximate viewing distance of 65 cm. ""]","['SJ', 'TOJ', '−333', '0', 'PSS', '333']",
6102316,6102316,False,delavega_nv,,"['fMRI-BOLD', 'fMRI-BOLD', 'fMRI-BOLD', 'fMRI-BOLD', 'fMRI-BOLD', 'fMRI-BOLD', 'fMRI-BOLD', 'fMRI-BOLD', 'fMRI-BOLD']",['n/a'],,"['unresolved', 'non-habitual', 'habitual', '“verbal”']",
6137311,6137311,False,delavega_nv,,['fMRI-BOLD'],['Yellow Light Game (YLG)'],"['The YLG (Op de Macks   et al  .,  ) is an adaption of the widely used Stoplight Task (Gardner and Steinberg,  ; Chein   et al  .,  ;) that examines risk-taking at the behavioral and neural level. In the YLG, participants were asked to drive a virtual car from the driver’s point of view along a straight track, during which they encountered several intersections with yellow lights ( ). They were instructed that the goal of the game was to get through all of the intersections in the shortest amount of time. At each intersection, participants had to indicate by button press whether they wanted to accelerate and go through the yellow light (go decision) or brake before arriving at the intersection (stop decision). Deciding to accelerate through the intersection—a go decision—constitutes a risky decision, and could result either in a successful go associated with no delay (i.e. if there was no other car passing through the intersection), or a delay of 5\xa0s in the event of a crash (i.e. if there was another car passing through the intersection). A successful go was shown on the screen with a blue tilde and a positive chiming sound ( ), whereas a crash was shown as a cracked car window, honking car and crash sound ( ).']","['peer', 'alone', 'go', 'stop']","['go decisions peer\xa0>\xa0parent', 'stop decisions peer\xa0>\xa0parent']"
6175904,6175904,False,delavega-aliceoverlap,,['fMRI-BOLD'],['autobiographical reminiscence task'],"['participants were instructed that they would be viewing images from the experience sampling experiment they recently completed and told that each image would be displayed for 8 s. Participants were asked to “… try to remember the event depicted in the picture, and try to relive your experience mentally”. After the remembrance period for each event, participants were asked if they remembered the event (“yes” or “no”) and how vividly they recalled the event (“lots of detail” or “very little detail”). Participants were given 2.5 s to respond to each of those questions using a button box held in their right hand. The images were presented in random order, and the task was split into eight runs with 15 images in each run. With each image presented for 8 s and each question for presented 2.5 s with a 0.5 s interstimulus interval, each trial took a total of 14 s. The intertrial interval was jittered uniformly between 4 and 10 s, allowing for a true event-related design.']",,"['general personal semantic network', 'vivid personal semantic network', 'vivid-only personal semantic network ']"
6200838,6200838,False,delavega-aliceoverlap,,['fMRI-BOLD'],"['affective Stroop task', 'The Affective Stroop Task ']","['variation of a response inhibition task and comprises a number Stroop task with trials which vary in cognitive load', 'Each trial started with an emotional stimulus, i.e., a negative (Neg) or neutral (Neu) stimulus (150 ms), followed by a task trial (congruent/incongruent/neutral Stroop trial or a blank screen) and finally a relaxation period, i.e., blank screen (350 ms). All pictures were selected from a child-appropriate image system [Developmental Affective Photo System (DAPS);  ]. During task trials, participants were presented with an array of 1 to 4 digits or a blank screen and were asked to press a button corresponding to the number of items displayed. The number of items was either congruent (C; e.g., number 3 in an array of 3) or incongruent (IC; e.g., number 1 in an array of 2) with the digits presented. Star shaped stimuli (S; as a neutral baseline counting condition) and blank trials (B; no response expected from participants) were used as control conditions (for further details see  ). Trial order and interstimulus intervals (which were 350–1850 ms) were randomized using Optseq  and kept constant across participants. A total of 300 task and 100 blank trials were administered (100 for C/IC/S trials, 50 with preceding negative images, 50 with neutral images, in 2 runs), with a total scan time of about 16 min (7.59 min each run). ']","['negative-congruent', 'negative-stars', 'negative-incongruent', 'negative-blank', 'neutral-congruent', 'neutral-stars', 'neutral-incongruent', 'neutral-blank']","['Group × task', 'Emotion × task', 'Main effect of emotion ', 'Main effect of task ', 'Main effect of group ', 'Main effect of task ']"
6219793,6219793,False,delavega_nv,,['fMRI-BOLD'],['Social feedback paradigm'],"['Following previous studies [ – ], negative social feedback was used to induce emotions for two reasons: (a) in daily life emotions are often caused by social stimuli [ , ] and (b) social feedback elicits emotional responses that are long enough to study emotion dynamics [ ]. The social feedback consisted of ratings on desirable (e.g., interesting, honest) and undesirable (e.g., stubborn, superficial) personality traits as well as on an item assessing whether the evaluator would like to have the participant as a friend (an English translation of the original feedback forms is shown in  ). Negative feedback consisted of low (high) ratings on desirable (undesirable) items as well as on the evaluator’s desire to have the participant as a friend. Neutral feedback consisted of ratings close to the neutral scale midpoint of all items. Feedback was shown in one of two pre-specified orders, preventing the presentation of more than two consecutive trials of the same valence (negative or neutral), counterbalanced across participants. ']","['self-distanced', 'self-immersed']",
6303343,6303343,False,delavega_nv,,['fMRI-BOLD'],['Balloon Analogue Risk Task (BART)'],,"['pump decisions', 'cash-outs', 'explosion']","['Participants completed a version of the Balloon Analogue Risk Task (BART), a well-validated experimental paradigm  that has been adapted for fMRI in developmental populations . The BART measures participants’ willingness to engage in risky behavior in order to earn rewards, and is associated with real-life risk taking in adolescents  and adults . During the scan session, participants were presented with a sequence of 24 balloons that they could pump up to earn points. Each pump decision was associated with earning one point but also increased the risk that a balloon would explode. If participants pumped a balloon too many times, the balloon would explode and participants would lose all the points they had earned for that balloon. However, if participants chose to cash out before the balloon exploded, the points they earned would be added to the running total of points, which was presented on the screen as a points meter. Participants were instructed that their goal was to earn as many points as possible during the task. Each event (e.g., larger balloon following a pump, new balloon following cashed or explosion outcomes) was separated with a random jitter (500–4000\u2009ms). Balloons exploded after 4 to 10 pumps, and the order of balloons was presented in a fixed order (after being pseudo-randomly ordered prior to data collection), although none of this information was made available to participants. The BART was self-paced and would not advance unless the participant made the choice to either pump or cash out. Participants were told that they could win a $10 gift card at the end of the neuroimaging session if they earned enough points during the task. The point threshold for winning this prize was intentionally left ambiguous so that participants were motivated to continue earning points throughout the task. In reality, all participants were given a $10 gift card after completing the scan session. ']"
6331309,6331309,False,delavega_nv,,['StructuralMRI'],[],,,
6344321,6344321,False,delavega_nv,['MetaAnalysis'],,[],,,
6382839,6382839,False,delavega-other,,['fMRI-BOLD'],['n/a'],,"['disorder-related ', 'neutral narrative']",['disorder-related\u2009>\u2009neutral scripts']
6391069,6391069,False,delavega_nv,,['fMRI-BOLD'],['n/a'],"['Auditory stimuli were presented in 10 separate runs, each lasting 4 min. One run consisted of 56 trials of mother’s voice, unfamiliar female voices, environmental sounds and catch trials, which were pseudo-randomly ordered within each run. Stimulus presentation order was the same for each subject. Each stimulus lasted 956 msec in duration. Prior to each run, child participants were instructed to play the ‘kitty cat game’ during the fMRI scan. While laying down in the scanner, children were first shown a brief video of a cat and were told that the goal of the cat game was to listen to a variety of sounds, including ‘voices that may be familiar,’ and to push a button on a button box only when they heard kitty cat meows (catch trials). The function of the ‘catch trials’ was to keep the children alert and engaged during stimulus presentation. During each run, four or five exemplars of each stimulus type (i.e. nonsense words samples of mother’s and unfamiliar female voices, environmental sounds), as well as three catch trials, were presented. At the end of each run, the children were shown another engaging video of a cat. Although the button box failed to register responses during data collection in four children with ASD and nine TD children, data analysis of the catch trails for 17 children with ASD and 12 TD children showed similar catch trial accuracies between TD (accuracy\xa0=\xa091%) and ASD groups (accuracy\xa0=\xa089%; two-sample   t  -test results:   t  (2) = 0.35, p\xa0=\xa00.73). Across the ten runs, a total of 48 exemplars of each stimulus condition were presented to each subject (i.e. 144 total exemplars produced by each of the three vocal sources, including the child’s mother, unfamiliar female voice #1, and unfamiliar female voice #2). Vocal\xa0stimuli were presented to participants in the scanner using Eprime V1.0 (Psychological Software Tools, 2002). Participants wore custom-built headphones designed to reduce the background scanner noise to ∼70 dBA ( ;  ). Headphone sound levels were calibrated prior to each data collection session, and all stimuli were presented at a sound level of 75 dBA. Participants were scanned using an event-related design. Auditory stimuli were presented during silent intervals between volume acquisitions to eliminate the effects of scanner noise on auditory discrimination. One stimulus was presented every 3576 ms, and the silent period duration was not jittered. The total silent period between stimulus presentations was 2620 ms, and consisted of a 300 ms silent period, 2000 ms for a volume acquisition, another 300 ms of silence, and a 20 ms silent interval that helped the stimulus computer maintain precise and accurate timing during stimulus presentation. ']","['mother’s voice', 'unfamiliar female voices', 'environmental sounds', 'catch trials']","['unfamiliar female voices\xa0>\xa0environmental sounds', 'mother’s voice\xa0>\xa0unfamiliar female voices']"
6397754,6397754,False,delavega_nv,,['fMRI-BOLD'],"['n/a', 'watched']","['For this task, all participants were told that they would watch a clip from a nature documentary featuring Canadian bighorn sheep, and at times various words would appear and move around on the screen, but they were told to “avoid reading these distractor words whenever they appear.” On average, dieters find this task significantly more effortful, compared to a control condition in which they just watched the film and read the words as they pleased, Cohen’s   d  \xa0=\xa01.04 (calculated from\xa0 ). The video lasted for seven minutes, with a jittered presentation of 40 words (all one-syllable and of neutral valence, e.g.,\xa0“CHAIR” and “BOOK”) throughout the task epoch. ']","['food', 'non-food']","['words present vs. absent', 'words-versus-film']"
6411911,6411911,False,delavega_nv,,['fMRI-BOLD'],['CUPS task'],"['they had to decide whether to accept or refuse a series of mixed gambles. In each trial participants were presented with a set of cups (3 to 11). They were informed that one of the cups contained a gain (amount ranging between $3 and $8) and the rest of the cups contained a loss of $1, and they were asked to accept or reject the gamble ( ). When the gamble was accepted, the participant was informed of the gain or loss after a short waiting period. When the gamble was rejected, the participant did not win or lose any money. When no selection was made during the response window, the participant lost $1.   ']","['risky', 'non-risky', 'decision', 'feedback']",
6463125,6463125,False,delavega_nv,,['fMRI-BOLD'],['food cue reactivity'],"['During the experimental runs images of neutral objects, high-calorie foods, and low-calorie foods were presented in a block design format. Each run consisted of four randomly presented 21\u202fs long blocks for each image category in which 7 individual images were presented for 2\u202fs followed by a 1\u202fs gap. Each block was separated by 9\u202fs and each run began with 15\u202fs of blank screen with only a fixation cross present. \n\nA total of 112 pictures for each image category were collected from the International Affective Picture System (IAPS) database ( ) and Internet search engines. In the two sessions, the same 112 images were randomly presented in four runs of 28 images for each image category. High-calorie food images contained an equal number of sweet and savory food images. All images were equated for luminance and contrast and presented centrally, subtending 8\u202f×\u202f6°, on a uniform gray background. Stimuli were projected onto a translucent screen located at the back of the scanner bore using a Panasonic PT-D3500E DLP projector (Matsushita Electric Industrial Co., Ltd., Kadoma, Osaka, Japan) at a refresh rate of 60\u202fHz, and they were viewed through a mirror attached to the head coil at a viewing distance of 57\u202fcm. Head motion was minimized using foam padding. Stimulus presentation was controlled by MATLAB R2010a (The MathWorks Inc., Natick, MA, USA) using PTB-3 ( ;  ;   http://psychtoolbox.org/  ). Participants were instructed to pay attention to the images presented on the screen. \n']","['neutral objects', 'high-calorie foods', 'low-calorie foods']",
6699247,6699247,False,delavega_nv,,"['EEG', 'fMRI-BOLD', 'MRS']",['picture–word verification task'],"['In this task, a simple line drawing of an object is presented (250\u202fms), and following a short delay (75\u202fms), a word appears. Subjects are instructed to respond by indicating whether the word was a semantic match (50% of trials) or non-match (unmatched, 50% of trials) to the preceding picture. Pictures consisted of 102 line drawings selected from ( ) and classified into 10 natural categories (clothing, animal, bird, appliance, tool, vehicle, vegetable, fruit, toy, and musical instrument). The full set of pictures comprised a block of 102 trials which was repeated across a total of four blocks, with the order of pictures varying across blocks. Half of the unmatched trials comprised picture-word pairs from a related semantic category (related co-hyponym, e.g., APPLE →lemon) and the other half comprised picture-word pairs from unrelated semantic categories (unrelated, e.g., APPLE →cow). Subjects were not asked to distinguish between related and unrelated unmatched target words. Occasional null events were inserted between trials, resulting in trial-to-trial intervals that ranged from 3 to 11\u202fs. Participants responded by button press with right or left index fingers to indicate if the word matched or did not match the picture. Left / right button presses were counterbalanced across participants. All participants performed several practice trials prior to ERP or fMRI recordings. No feedback was given to signal performance accuracy and participants were told to respond as quickly as possible without sacrificing accuracy. All subjects performed the task at >90% accuracy (See Supplementary Table 1. HC\u202f=\u202f95.0% and SZ\u202f=\u202f91.8%, F(1,45)\u202f=\u202f5.7295,   p  \u202f=\u202f0.02). We found no effect of practice across the two sessions, performance accuracy was similar for the first and second session across groups (paired   t  -test, t-stat\u202f=\u202f−0.70,   p  \u202f=\u202f0.49) and remained insignificant after controlling for the time difference between sessions (p\u202f=\u202f0.49). Moreover, there was no effect of session order or time between sessions on the loading weight of the joint component reported below (ANCOVA model with covariates of group, session order and times between sessions). Reaction latency data were collected, and the median reaction times per subject, per condition (matched, unmatched) was determined (see Supplementary Methods and Resul']",,
6715348,6715348,False,delavega_nv,,['fMRI-BOLD'],['fear conditioning and extinction paradigm'],,"['CS', 'US']","['US post CS+\xa0>\xa0no US post CS-', 'CS+\xa0>\xa0CS-', 'no-US post CS+\xa0>\xa0no US post CS-', 'Conjunction analyses testing global null hypotheses', 'analyses of differences', 'PPI analysis based on a seed region in the left lateral cerebellar cerebellum']"
6821801,6821801,False,delavega_nv,,['fMRI-BOLD'],['n/a'],"['During the event-related fMRI sessions, participants performed either purchasing or perceptual decisions in alternating blocks (Fig.\xa0 ). Each good was presented twice: once during the purchasing decision and once during the perceptual decision. Before each block started, both blocks were cued visually so participants knew in which block they were performing. Hedonic and utilitarian goods were presented in a random order. There were four blocks, and each block had 76 stimuli.   \nParticipants performed two types of task in relation to identical stimuli (book cover: hedonic/utilitarian). (  A  ) For purchasing decisions, participants indicated their willingness to pay a specific price for that book. (  B  ) For perceptual choices, participants indicated the total number of people and lines on the book cover. \n  \n\nTo capture explicit hedonic/utilitarian values, we asked participants how much they would be willing to pay for the goods during purchasing decisions (willingness-to-pay: WTP), as previously described . We considered the WTP scores as the economic value of goods, and the WTP scores for hedonic/utilitarian goods as hedonic/utilitarian values, respectively. We also assumed that participants automatically calculate WTP without the need for purchasing behavior during exposure to the goods and, therefore, WTP reflects the explicit and task-irrelevant economic values of the goods during purchasing decisions . \n\nWe followed the Becker–Degroot–Marshak (BDM) auction method, which is widely used in economics to incentivize participants to reveal their true values for goods without actually providing all the selected goods . In brief, participants were given money (450 yen in our case) for purchasing decisions and state their WTP for each item. They placed bids on the goods from a range of prices (0 yen, 150 yen, 300 yen or 450 yen in our case) as the stated WTP. At the end of the experiment, one trial was randomly selected, and then the experimenter generated a random selling price (from a known distribution of 0 yen, 150 yen, 300 yen, and 450 yen with equal probability in our case). If the random selling price was less than or equal to their stated WTP, the participant could purchase the goods at the random selling price and kept the remaining money. If the selling price was greater than their WTP, the participant could not purchase the item and keeps the entire 450 yen. Therefore, participants’ optimal strategy was to state their true value for goods on every trial. \n\nParticipants also performed perceptual decisions for a perceptual task. They viewed the cover of the book, and answered questions relating to perceptual levels: the total number of people and lines of the title in the book (by 2, 3, 4, or 5). Each book included at least one person and one line of title. They saw the same books during both decisions, but the order was pseudo-randomized to eliminate the order effects. Therefore, this procedure allowed motor responses and sensory input to be matched in both purchasing and perceptual tasks. ']",,
6831914,6831914,False,delavega_nv,,['fMRI-BOLD'],['Monetary Incentive Delay (MID) Task'],,"['gain', 'loss', 'nonresponse']","['gain anticipation (linearly weighted as ++0.00 / −3, ++0.20 / −1, ++1.00 / 1, ++5.00 / 3);', 'loss anticipation (linearly weighted as −$0.00 / −3, −$0.20 / −1, −$1.00 / 1, −$5.00 / 3)', 'gain versus nongain outcomes (hit vs. miss weighted as ++1.00 / ±1, ++5.00 / ±3)', 'non-loss versus loss outcomes (hit vs. miss weighted as −$1.00 / ±1, −$5.00 / ±3)']"
6847532,6847532,False,delavega_nv,,['fMRI-BOLD'],"['Go/No-Go', 'social Go/No-Go']","['While completing an fMRI scan, participants completed both a control go/no-go, which was used solely to establish baseline cognitive performance in the absence of socioaffective cues, and a social go/no-go task ( ) adapted from prior research ( ), which was used to assess emotion regulation in the context of socioaffective cues. The control go/no-go task consisted of four blocks, each containing 25 trials. The control task was completed prior to the social go/no-go, which included four aversive and four appetitive blocks, which were presented in a randomized order. Participants were presented with blocks of socially appetitive or aversive scenes for 300\xa0ms, after which a letter was superimposed on the image for 500\xa0ms. During this 500\xa0ms window, participants were instructed to respond as quickly as possible by pushing a button for every letter shown (‘go’) except the letter ‘X’ (‘no-go’). The control go/no-go task was identical in design structure, but did not include superimposed images (rather, a white square was presented on a black screen for 300\xa0ms, after which a black letter was superimposed on the white background for 500\xa0ms). In both task variants, 28% of the trials were no-go trials, which created a prepotent response to press, requiring inhibition on no-go trials. A jittered Intertrial interval (ITI) was presented between trials, averaging 1200\xa0ms. In total, the social go/no-go consisted of 100 trials per condition across eight randomized blocks. Socially appetitive blocks included scenes of people celebrating, cooperating, and being affiliative, while socially aversive blocks included scenes of people excluding one another, bullying peers, and showing negative affect (see   for selection and reliability of the stimuli). The task was programmed and presented using E-Prime 2.0 (2012). ']","['socially appetitive', 'socially aversive']",['socially appetitive cues\u2009>\u2009socially aversive cues']
6969196,6969196,False,delavega_nv,,['fMRI-BOLD'],['emotional go/no-go paradigm'],"['A modified emotional go/no-go task was created with stimuli selected based on data from the pilot phase ( ). Within a go/no-go paradigm participants are instructed to press a button as quickly as possible when shown a ‘go’ (i.e., target) stimulus and to inhibit their response by not pressing the button when shown a ‘no-go’ (i.e., non-target) stimulus.   \nGo/no-go task design. The figure displays three trials in a run with calm faces as target stimuli and angry faces as non-targets. \n  Fig. 1   \n\nThe rapid event-related task comprised four blocks presented across four different runs. Each block contained two facial emotions (calm and happy, or calm and angry), one instructed to be the target and one as the non-target stimulus, leading to four conditions: (i) happy go/calm no-go, (ii) happy no-go/calm go, (iii) angry go/calm no-go, and (iv) angry no-go/calm go. \n\nAt the start of each block participants were shown a screen indicating the target emotion for that block, and reminding them not to respond to other emotions. Each block consisted of 16 trials, with targets (‘go’) occurring on 75% of these trials, resulting in a total of 96 angry/happy go trials (48 happy, 48 angry), 32 angry/happy no-go trials (16 happy, 16 angry), 96\u202fcalm go trials and 32\u202fcalm no-go trials across the four runs (256 trials in total). Trials within a block, and block order within a run, were randomized across participants. Each trial started with a face, which was displayed for 500\u202fms, followed by a fixation cross which was displayed for a variable interstimulus interval between 1500\u202fms–2500\u202fms (in steps of 500\u202fms). After the last trial of a block, the fixation cross was displayed for 10\u202fs. During the last trial of a run the fixation cross was displayed for 20\u202fs in order to acquire the final BOLD response in full. ']","['happy go/calm no-go', 'happy no-go/calm go', 'angry go/calm no-go', 'angry no-go/calm go']","['emotional (angry\u202f+\u202fhappy)\u202f>\u202fcalm', 'no-go\u202f>\u202fgo', '3 (Emotion: calm, happy, angry)\u202f×\u202f2 (Trial Type: go, no-go)\u202f×\u202f2 (Risk-taking: high, low)']"
6969350,6969350,False,delavega_nv,,['fMRI-BOLD'],['passive viewing task'],"['Forty-five short video-clips were taken from a larger set created and validated by  . Each clip depicted one actor, dressed in black against a green background, moving in an angry, happy or neutral manner. Six actors were males and nine females, with each actor recorded three times for each of the three emotions. The videos were recorded using a digital video camera and were edited to two-second long clips (50 frames at 25 frames per second). The faces in the videos were masked with Gaussian filters so that only information from the body was perceived (for full details and validation of stimuli (see   and  )). In addition, to use as control stimuli, we selected videos depicting non-human moving objects (e.g. windscreen wipers, windmills, metronomes, etc.) from the internet. We edited these clips using Adobe Premiere so that they matched the body stimuli in terms of size, resolution, and luminance. A green border matching the colour of the human video background was added. In the fMRI experiment, stimuli were presented in blocks of five clips (10\u202fs). ']","['Happy', 'Angry', 'Neutral', 'Non-Body']","['Bodies\u202f>\u202fNon-Human', 'Angry Bodies\u202f>\u202fNeutral Bodies', 'Happy\u202f>\u202fNeutral']"
6970153,6970153,False,delavega_nv,,"['fMRI-BOLD', 'fMRI-BOLD', 'fMRI-BOLD']",['asymmetric matching pennies game'],"['The participants played the ‘asymmetric matching pennies game’ in the MRI scanner with three types of opponents: the human opponent (HUM) who played the game outside the scanner and the two artificial agents (FIX and LRN). FIX’s choices were determined stochastically according to the mixed Nash strategy, while LRN used a machine-learning algorithm to attempt to predict and exploit the participant’s choices. In the instructions, the human opponent was described as a student of the same sex at the same university, FIX as a computer program that would always follow a fixed, economically rational strategy and LRN as a computer program that would constantly learn to predict the participant’s choices through interaction. \n\nAt the beginning of each trial, a cue indicating the type of opponent (HUM, FIX or LRN) was presented for 0.5\xa0s ( ). Then two choice options were presented on the left and right sides of the display. The participant was asked to choose either option within 2\xa0s. Immediately after either button was pressed, the frame of the chosen option was colored red. After a jittered fixation duration (2, 4 or 6\xa0s), the choice of the opponent was indicated by a green frame, along with the outcome amount for the participant displayed at the center. After a jittered inter-trial interval (ITI) (2, 4 or 6\xa0s), the next trial began. \n  \nTask sequence (A) and payoff matrix (B). A. In each trial, a conditional cue was presented for 0.5\xa0s. Two options were presented on the left and right sides of the display for 2\xa0s. When the participant pressed a button, the frame of the chosen option was colored red. After a jittered fixation duration, the choice of the opponent was shown as a green frame along with the monetary outcome the participant obtained. ITI\u2009=\u2009inter-trial interval. B. The participant won the game when his/her choice matched with the opponent’s choice. The participant received 60 JPY by winning with the left choice (‘star’) and 20 JPY by winning with the right choice (‘diamond’) but received nothing for losing the game. The combination of left/right, star/diamond and outcome amounts was counterbalanced across participants. \n  \nThe participant won the game and received a monetary reward when their choice matched the opponent’s choice. As shown in  , the participant received 60 JPY if both participant and opponent selected the left choice (‘star’ in this example) and 20 JPY if both selected the right choice (‘diamond’), while the opponent received nothing in either case. In contrast, when the two selections did not match, the participant received nothing, while the opponent received 40 JPY for ‘star’ or 20 JPY for ‘diamond’. Thus, the game payoff was asymmetric between the two players. We adopted this asymmetric payoff to make the game-theoretic probabilistic mixed strategy different from a random 50–50 choice; if the payoffs were symmetrical, it would be impossible to distinguish the game-theoretically rational strategy from a purely random choice ( ;  ). The combination of left/right sides, star/diamond shapes and outcome amounts was counterbalanced across participants. The participant’s understanding of the payoff matrix was confirmed by a series of quizzes prior to the experiment. ']","['HUM', 'FIX', 'LRN', 'false belief', 'false photo']",
6981017,6981017,False,delavega_nv,,['fMRI-BOLD'],['simple motor task (SMT)'],,,"['which required participants to respond to the direction of a projected arrow (left or right). Arrows were sequentially displayed for 500\u2009ms seconds at a time, with a total of 150 trials. Left and right arrows were shown in equal proportion. Interstimulus intervals were jittered and ranged from 1s to 4\u2009s each.']"
7018765,7018765,False,delavega-aliceoverlap,,['fMRI-BOLD'],['Testing Emotional Attunement and Mutuality (TEAM)'],"['his task builds on past studies that have utilized error processing paradigms in the study of ER (e.g.,  ;  ;  ) by specifically examining dyadic error processing. Parent-adolescent dyads completed the TEAM task while simultaneously undergoing fMRI scanning. This task was developed to examine brain activation in both parents and adolescents when the other member of the parent-adolescent dyad makes a costly error. It thus allows us to probe emotion reactivity and regulation in response to being “let down” by the other person within the context of a relationship and processing an error made by a family member. The costly errors result in a monetary loss for the dyad, which evokes negative affect in participants, particularly because they themselves responded accurately ( ). In order to continue performing the task on the next trial, participants must regulate their emotional response to their partner’s error (implicit ER).', 'The TEAM task is an event-related design and consists of 17 trials during which participants first see a pattern of colored arrows presented sequentially on the screen for 3 s, twice in a row (totaling 6 s). They are then given 4 s to reconstruct the sequence by pressing colored buttons on a response box (shown in  ). At the end of the 4-s response window, participants see a message with feedback regarding both dyad members’ performance on that trial. Prior to the scan, participants are told that if one or both members of the parent-adolescent dyad respond incorrectly to a trial, they will lose $5 from a starting amount of $50. ']","['“both correct”', '“costly error”', 'participant responded incorrectly', 'both the participant and their partner responded incorrectly,']","['“costly error” – “both correct”', '“costly error”', '“both correct”']"
